peptideName	GO
AC189754.3_FGP004	GO:0005634
AC189879.3_FGP003	GO:0005515
AC189879.3_FGP003	GO:0003676
AC190507.1_FGP007	GO:0019205
AC190507.1_FGP007	GO:0006139
AC190507.1_FGP007	GO:0005524
AC190516.1_FGP003	GO:0016567
AC190516.1_FGP003	GO:0004842
AC190518.1_FGP002	GO:0030244
AC190518.1_FGP002	GO:0016866
AC190560.2_FGP002	GO:0006760
AC190560.2_FGP002	GO:0004150
AC190561.3_FGP002	GO:0055114
AC190561.3_FGP002	GO:0016491
AC190582.4_FGP011	GO:0005515
AC190609.3_FGP001	GO:0043565
AC190609.3_FGP001	GO:0006355
AC190609.3_FGP001	GO:0003700
AC190609.3_FGP002	GO:0006412
AC190609.3_FGP002	GO:0005840
AC190609.3_FGP002	GO:0005622
AC190609.3_FGP002	GO:0003735
AC190609.3_FGP004	GO:0006508
AC190609.3_FGP004	GO:0004190
AC190623.3_FGP001	GO:0015979
AC190623.3_FGP001	GO:0009523
AC190623.3_FGP001	GO:0009507
AC190632.2_FGP004	GO:0007264
AC190632.2_FGP004	GO:0005525
AC190636.3_FGP005	GO:0055114
AC190636.3_FGP005	GO:0016491
AC190682.3_FGP014	GO:0055085
AC190700.3_FGP002	GO:0006508
AC190700.3_FGP002	GO:0004190
AC190713.3_FGP004	GO:0016021
AC190716.3_FGP001	GO:0006468
AC190716.3_FGP001	GO:0005524
AC190716.3_FGP001	GO:0004672
AC190750.2_FGP014	GO:0005515
AC190753.4_FGP002	GO:0043531
AC190761.3_FGP002	GO:0006511
AC190761.3_FGP002	GO:0005622
AC190761.3_FGP002	GO:0004843
AC190772.4_FGP011	GO:0045735
AC190788.2_FGP005	GO:0030983
AC190788.2_FGP005	GO:0006298
AC190788.2_FGP005	GO:0005524
AC190807.2_FGP001	GO:0030598
AC190807.2_FGP001	GO:0017148
AC190829.3_FGP002	GO:0006412
AC190829.3_FGP002	GO:0005840
AC190829.3_FGP002	GO:0003735
AC190909.3_FGP004	GO:0016020
AC190909.3_FGP004	GO:0006075
AC190909.3_FGP004	GO:0003843
AC190909.3_FGP004	GO:0000148
AC190933.3_FGP004	GO:0006950
AC190940.3_FGP005	GO:0030163
AC190940.3_FGP005	GO:0005524
AC190940.3_FGP005	GO:0004252
AC190940.3_FGP005	GO:0004176
AC190999.2_FGP004	GO:0005515
AC191050.3_FGP003	GO:0045735
AC191070.3_FGP006	GO:0005789
AC191097.3_FGP007	GO:0016021
AC191251.3_FGP005	GO:0030014
AC191251.3_FGP005	GO:0006402
AC191272.3_FGP003	GO:0043565
AC191272.3_FGP003	GO:0006351
AC191279.2_FGP001	GO:0006355
AC191279.2_FGP001	GO:0003677
AC191279.2_FGP003	GO:0006355
AC191279.2_FGP003	GO:0003677
AC191283.3_FGP004	GO:0005515
AC191287.2_FGP001	GO:0006260
AC191287.2_FGP001	GO:0005663
AC191287.2_FGP001	GO:0005524
AC191287.2_FGP001	GO:0003689
AC191325.3_FGP005	GO:0006468
AC191325.3_FGP005	GO:0005524
AC191325.3_FGP005	GO:0004672
AC191359.3_FGP003	GO:0003677
AC191412.3_FGP002	GO:0005524
AC191523.3_FGP001	GO:0030145
AC191523.3_FGP001	GO:0006302
AC191523.3_FGP001	GO:0005634
AC191523.3_FGP001	GO:0004519
AC191523.3_FGP001	GO:0006259
AC191523.3_FGP001	GO:0004527
AC191524.3_FGP007	GO:0016021
AC191524.3_FGP007	GO:0006810
AC191534.3_FGP003	GO:0046872
AC191534.3_FGP003	GO:0042393
AC191551.3_FGP003	GO:0016747
AC191551.3_FGP003	GO:0008610
AC191551.3_FGP003	GO:0006633
AC191551.3_FGP003	GO:0004315
AC191650.3_FGP003	GO:0008270
AC191650.3_FGP003	GO:0005515
AC191759.3_FGP003	GO:0006412
AC191759.3_FGP003	GO:0005840
AC191759.3_FGP003	GO:0005622
AC191759.3_FGP003	GO:0003735
AC191802.3_FGP004	GO:0016798
AC191802.3_FGP004	GO:0016020
AC192204.3_FGP005	GO:0016020
AC192204.3_FGP005	GO:0009765
AC192236.3_FGP007	GO:0043531
AC192236.3_FGP007	GO:0007275
AC192236.3_FGP007	GO:0006355
AC192236.3_FGP007	GO:0003700
AC192244.3_FGP002	GO:0016020
AC192244.3_FGP002	GO:0015018
AC192244.3_FGP007	GO:0009058
AC192244.3_FGP007	GO:0003824
AC192362.3_FGP003	GO:0006412
AC192362.3_FGP003	GO:0005840
AC192362.3_FGP003	GO:0005622
AC192362.3_FGP003	GO:0003735
AC192377.3_FGP002	GO:0055114
AC192377.3_FGP002	GO:0004471
AC192606.3_FGP003	GO:0008270
AC192606.3_FGP003	GO:0003676
AC193362.3_FGP002	GO:0006412
AC193362.3_FGP002	GO:0005840
AC193362.3_FGP002	GO:0005622
AC193362.3_FGP002	GO:0003735
AC193379.3_FGP001	GO:0006468
AC193379.3_FGP001	GO:0004672
AC193382.3_FGP002	GO:0000398
AC193430.3_FGP005	GO:0006887
AC193430.3_FGP005	GO:0000145
AC193485.3_FGP005	GO:0008234
AC193485.3_FGP005	GO:0006508
AC193500.3_FGP003	GO:0055114
AC193500.3_FGP003	GO:0050661
AC193500.3_FGP003	GO:0050660
AC193500.3_FGP003	GO:0004499
AC193576.3_FGP003	GO:0009611
AC193576.3_FGP003	GO:0004867
AC193595.3_FGP001	GO:0016021
AC193598.3_FGP002	GO:0005515
AC193598.3_FGP002	GO:0043531
AC193625.3_FGP007	GO:0016887
AC193625.3_FGP007	GO:0005524
AC193630.3_FGP003	GO:0043565
AC193630.3_FGP003	GO:0006355
AC193630.3_FGP003	GO:0003700
AC193632.2_FGP002	GO:0006468
AC193632.2_FGP002	GO:0005524
AC193632.2_FGP002	GO:0004672
AC193754.3_FGP008	GO:0030983
AC193754.3_FGP008	GO:0006298
AC193754.3_FGP008	GO:0005524
AC193767.3_FGP003	GO:0003677
AC193786.3_FGP005	GO:0046983
AC193786.3_FGP005	GO:0003677
AC193972.3_FGP002	GO:0007094
AC194027.3_FGP001	GO:0055114
AC194027.3_FGP001	GO:0020037
AC194027.3_FGP001	GO:0006979
AC194027.3_FGP001	GO:0004601
AC194069.3_FGP003	GO:0006412
AC194069.3_FGP003	GO:0005840
AC194069.3_FGP003	GO:0005622
AC194069.3_FGP003	GO:0003735
AC194104.3_FGP007	GO:0006351
AC194104.3_FGP007	GO:0005634
AC194104.3_FGP007	GO:0003677
AC194112.3_FGP001	GO:0016020
AC194172.3_FGP008	GO:0005634
AC194180.3_FGP012	GO:0005815
AC194180.3_FGP012	GO:0000922
AC194180.3_FGP012	GO:0000226
AC194180.3_FGP012	GO:0007020
AC194180.3_FGP012	GO:0005856
AC194192.3_FGP002	GO:0006508
AC194192.3_FGP002	GO:0004252
AC194259.3_FGP002	GO:0010181
AC194296.3_FGP001	GO:0006351
AC194296.3_FGP001	GO:0003899
AC194296.3_FGP001	GO:0003677
AC194296.3_FGP001	GO:0006893
AC194296.3_FGP001	GO:0000145
AC194341.4_FGP002	GO:0015986
AC194341.4_FGP002	GO:0015078
AC194341.4_FGP002	GO:0000276
AC194341.4_FGP004	GO:0005515
AC194341.4_FGP008	GO:0003924
AC194341.4_FGP008	GO:0007017
AC194341.4_FGP008	GO:0005874
AC194362.3_FGP003	GO:0043565
AC194362.3_FGP003	GO:0006355
AC194362.3_FGP003	GO:0003700
AC194442.3_FGP004	GO:0055085
AC194442.3_FGP004	GO:0016021
AC194457.3_FGP001	GO:0055085
AC194457.3_FGP001	GO:0016021
AC194457.3_FGP001	GO:0022857
AC194480.3_FGP001	GO:0009611
AC194480.3_FGP001	GO:0004867
AC194480.3_FGP003	GO:0009611
AC194480.3_FGP003	GO:0004867
AC194592.2_FGP001	GO:0008168
AC194592.2_FGP001	GO:0008152
AC194628.3_FGP003	GO:0005992
AC194628.3_FGP003	GO:0003824
AC194734.3_FGP004	GO:0016020
AC194734.3_FGP004	GO:0009765
AC194852.3_FGP007	GO:0030570
AC194965.4_FGP001	GO:0005515
AC194965.4_FGP001	GO:0007165
AC194965.4_FGP001	GO:0000155
AC194965.4_FGP004	GO:0043565
AC194965.4_FGP004	GO:0008270
AC194965.4_FGP004	GO:0006355
AC194965.4_FGP004	GO:0003700
AC194970.5_FGP001	GO:0008299
AC194970.5_FGP009	GO:0005524
AC194970.5_FGP009	GO:0003678
AC194970.5_FGP009	GO:0043141
AC194974.3_FGP005	GO:0030246
AC194977.2_FGP004	GO:0055114
AC194977.2_FGP004	GO:0030976
AC194977.2_FGP004	GO:0006099
AC194977.2_FGP004	GO:0004591
AC195147.3_FGP001	GO:0005515
AC195211.3_FGP001	GO:0006412
AC195211.3_FGP001	GO:0005840
AC195211.3_FGP001	GO:0005622
AC195211.3_FGP001	GO:0003735
AC195220.3_FGP005	GO:0008234
AC195220.3_FGP005	GO:0006508
AC195220.3_FGP007	GO:0016020
AC195230.2_FGP003	GO:0006468
AC195230.2_FGP003	GO:0005524
AC195230.2_FGP003	GO:0004672
AC195319.3_FGP001	GO:0016787
AC195323.3_FGP011	GO:0055114
AC195323.3_FGP011	GO:0016020
AC195323.3_FGP011	GO:0003885
AC195340.3_FGP001	GO:0003924
AC195340.3_FGP001	GO:0007017
AC195340.3_FGP001	GO:0005874
AC195340.3_FGP004	GO:0006355
AC195340.3_FGP004	GO:0005634
AC195343.3_FGP002	GO:0006457
AC195343.3_FGP002	GO:0005737
AC195349.3_FGP005	GO:0006468
AC195349.3_FGP005	GO:0005524
AC195349.3_FGP005	GO:0004672
AC195366.3_FGP008	GO:0070569
AC195366.3_FGP008	GO:0008152
AC195401.3_FGP002	GO:0052726
AC195401.3_FGP002	GO:0052725
AC195401.3_FGP002	GO:0047325
AC195401.3_FGP002	GO:0032957
AC195401.3_FGP002	GO:0005622
AC195401.3_FGP002	GO:0005524
AC195401.3_FGP002	GO:0000287
AC195587.4_FGP001	GO:0046983
AC195587.4_FGP001	GO:0003677
AC195587.4_FGP004	GO:0043531
AC195587.4_FGP005	GO:0006355
AC195587.4_FGP005	GO:0005634
AC195587.4_FGP005	GO:0003700
AC195671.2_FGP001	GO:0055114
AC195671.2_FGP001	GO:0050661
AC195671.2_FGP001	GO:0050660
AC195671.2_FGP001	GO:0004499
AC195785.3_FGP004	GO:0006468
AC195785.3_FGP004	GO:0005524
AC195785.3_FGP004	GO:0004672
AC195826.2_FGP006	GO:0072488
AC195826.2_FGP006	GO:0016020
AC195826.2_FGP006	GO:0008519
AC195828.3_FGP002	GO:0006468
AC195828.3_FGP002	GO:0005524
AC195828.3_FGP002	GO:0004672
AC195833.3_FGP001	GO:0008017
AC195833.3_FGP001	GO:0007018
AC195833.3_FGP001	GO:0005524
AC195833.3_FGP001	GO:0003777
AC195833.3_FGP001	GO:0005871
AC195836.2_FGP004	GO:0005096
AC195874.2_FGP002	GO:0015031
AC195874.2_FGP002	GO:0008565
AC195951.2_FGP014	GO:0017056
AC195951.2_FGP014	GO:0006913
AC195951.2_FGP014	GO:0005643
AC196031.3_FGP006	GO:0016157
AC196031.3_FGP006	GO:0005985
AC196090.3_FGP006	GO:0006508
AC196090.3_FGP006	GO:0004252
AC196166.3_FGP001	GO:0007018
AC196166.3_FGP001	GO:0005871
AC196166.3_FGP001	GO:0003777
AC196183.3_FGP002	GO:0006468
AC196183.3_FGP002	GO:0004672
AC196263.4_FGP002	GO:0006508
AC196263.4_FGP002	GO:0004190
AC196266.3_FGP008	GO:0043631
AC196266.3_FGP008	GO:0005634
AC196266.3_FGP008	GO:0004652
AC196278.2_FGP003	GO:0008408
AC196278.2_FGP004	GO:0008408
AC196294.3_FGP005	GO:0006355
AC196294.3_FGP005	GO:0005634
AC196294.3_FGP005	GO:0003700
AC196412.3_FGP001	GO:0030170
AC196412.3_FGP001	GO:0019752
AC196412.3_FGP001	GO:0016831
AC196437.3_FGP001	GO:0006412
AC196437.3_FGP001	GO:0005840
AC196437.3_FGP001	GO:0005622
AC196437.3_FGP001	GO:0003735
AC196441.3_FGP004	GO:0016157
AC196441.3_FGP004	GO:0005985
AC196465.3_FGP006	GO:0006355
AC196465.3_FGP006	GO:0006351
AC196475.3_FGP004	GO:0046983
AC196475.3_FGP004	GO:0008171
AC196475.3_FGP005	GO:0006355
AC196475.3_FGP005	GO:0003677
AC196489.3_FGP002	GO:0006412
AC196489.3_FGP002	GO:0005840
AC196489.3_FGP002	GO:0003735
AC196708.3_FGP006	GO:0009733
AC196779.3_FGP003	GO:0003993
AC196793.2_FGP002	GO:0016020
AC196793.2_FGP002	GO:0006810
AC196793.2_FGP002	GO:0005215
AC196978.5_FGP007	GO:0006457
AC196978.5_FGP007	GO:0003755
AC196978.5_FGP007	GO:0000413
AC197007.3_FGP007	GO:0016798
AC197007.3_FGP007	GO:0016020
AC197016.3_FGP003	GO:0016021
AC197016.3_FGP003	GO:0006810
AC197029.3_FGP003	GO:0006468
AC197029.3_FGP003	GO:0005524
AC197029.3_FGP003	GO:0004672
AC197078.4_FGP002	GO:0003676
AC197122.3_FGP003	GO:0006355
AC197122.3_FGP003	GO:0005634
AC197146.3_FGP001	GO:0006270
AC197150.3_FGP003	GO:0055085
AC197150.3_FGP003	GO:0016020
AC197150.3_FGP003	GO:0006811
AC197150.3_FGP003	GO:0005216
AC197168.3_FGP001	GO:0030170
AC197168.3_FGP001	GO:0008483
AC197196.3_FGP002	GO:0055114
AC197196.3_FGP002	GO:0016491
AC197196.3_FGP002	GO:0051568
AC197196.3_FGP002	GO:0016575
AC197196.3_FGP002	GO:0005634
AC197242.3_FGP001	GO:0016747
AC197246.3_FGP001	GO:0005525
AC197246.3_FGP003	GO:0006412
AC197246.3_FGP003	GO:0005840
AC197246.3_FGP003	GO:0005622
AC197246.3_FGP003	GO:0003735
AC197333.2_FGP001	GO:0055114
AC197333.2_FGP001	GO:0016491
AC197333.2_FGP001	GO:0009073
AC197333.2_FGP001	GO:0003856
AC197354.3_FGP002	GO:0000160
AC197362.3_FGP002	GO:0006468
AC197362.3_FGP002	GO:0005524
AC197362.3_FGP002	GO:0004672
AC197364.3_FGP007	GO:0006355
AC197364.3_FGP007	GO:0003677
AC197437.3_FGP001	GO:0004725
AC197446.3_FGP009	GO:0008234
AC197446.3_FGP009	GO:0006508
AC197541.3_FGP009	GO:0016787
AC197544.3_FGP001	GO:0005524
AC197544.3_FGP001	GO:0003676
AC197544.3_FGP002	GO:0008234
AC197544.3_FGP002	GO:0006508
AC197555.3_FGP008	GO:0016853
AC197555.3_FGP008	GO:0005975
AC197575.3_FGP005	GO:0008236
AC197575.3_FGP005	GO:0006508
AC197575.3_FGP008	GO:0019904
AC197578.4_FGP001	GO:0005975
AC197578.4_FGP001	GO:0004553
AC197672.3_FGP002	GO:0006633
AC197672.3_FGP002	GO:0005524
AC197672.3_FGP002	GO:0003989
AC197699.3_FGP001	GO:0006355
AC197699.3_FGP001	GO:0005634
AC197699.3_FGP001	GO:0003700
AC197699.3_FGP003	GO:0055114
AC197699.3_FGP003	GO:0016491
AC197705.4_FGP001	GO:0030976
AC197705.4_FGP001	GO:0003824
AC197705.4_FGP001	GO:0000287
AC197705.4_FGP004	GO:0008270
AC197705.4_FGP004	GO:0005515
AC197705.4_FGP007	GO:0019867
AC197705.4_FGP011	GO:0070569
AC197705.4_FGP011	GO:0008152
AC197717.3_FGP002	GO:0007165
AC197758.3_FGP004	GO:0055114
AC197758.3_FGP004	GO:0020037
AC197758.3_FGP004	GO:0006979
AC197758.3_FGP004	GO:0004601
AC197783.3_FGP005	GO:0055114
AC197783.3_FGP005	GO:0017004
AC197783.3_FGP005	GO:0016020
AC197910.3_FGP001	GO:0046983
AC198028.3_FGP001	GO:0048015
AC198028.3_FGP001	GO:0046854
AC198028.3_FGP001	GO:0006661
AC198028.3_FGP001	GO:0004430
AC198118.4_FGP002	GO:0055114
AC198118.4_FGP002	GO:0020037
AC198118.4_FGP002	GO:0016705
AC198118.4_FGP002	GO:0005506
AC198169.4_FGP004	GO:0016787
AC198169.4_FGP004	GO:0005524
AC198169.4_FGP004	GO:0003677
AC198206.5_FGP001	GO:0055114
AC198206.5_FGP001	GO:0050660
AC198206.5_FGP001	GO:0016491
AC198206.5_FGP001	GO:0016020
AC198206.5_FGP001	GO:0003885
AC198206.5_FGP002	GO:0003676
AC198225.4_FGP002	GO:0008270
AC198353.5_FGP001	GO:0006508
AC198353.5_FGP001	GO:0004185
AC198353.5_FGP004	GO:0006355
AC198353.5_FGP004	GO:0003723
AC198361.3_FGP004	GO:0003676
AC198380.3_FGP001	GO:0005975
AC198380.3_FGP001	GO:0004553
AC198398.3_FGP005	GO:0006468
AC198398.3_FGP005	GO:0004672
AC198403.3_FGP001	GO:0006355
AC198403.3_FGP001	GO:0003700
AC198418.3_FGP005	GO:0016787
AC198418.3_FGP005	GO:0005524
AC198418.3_FGP005	GO:0003677
AC198418.3_FGP005	GO:0008270
AC198418.3_FGP005	GO:0003676
AC198418.3_FGP005	GO:0005634
AC198418.3_FGP005	GO:0004386
AC198418.3_FGP005	GO:0003723
AC198476.3_FGP004	GO:0003677
AC198481.3_FGP004	GO:0005515
AC198481.3_FGP004	GO:0016773
AC198515.3_FGP011	GO:0055085
AC198518.3_FGP002	GO:0005515
AC198518.3_FGP005	GO:0046983
AC198597.4_FGP001	GO:0055114
AC198597.4_FGP001	GO:0020037
AC198597.4_FGP001	GO:0006979
AC198597.4_FGP001	GO:0004601
AC198699.3_FGP004	GO:0016491
AC198700.2_FGP004	GO:0016020
AC198700.2_FGP004	GO:0006810
AC198700.2_FGP004	GO:0005215
AC198725.4_FGP007	GO:0030131
AC198725.4_FGP007	GO:0016192
AC198725.4_FGP007	GO:0006886
AC198725.4_FGP007	GO:0030117
AC198725.4_FGP009	GO:0043565
AC198725.4_FGP009	GO:0006355
AC198725.4_FGP009	GO:0003700
AC198749.3_FGP004	GO:0006779
AC198749.3_FGP004	GO:0004853
AC198937.4_FGP003	GO:0009073
AC198937.4_FGP003	GO:0004106
AC198937.4_FGP005	GO:0006355
AC198937.4_FGP005	GO:0003677
AC198971.3_FGP006	GO:0055114
AC198971.3_FGP006	GO:0016616
AC198971.3_FGP006	GO:0019752
AC198979.4_FGP009	GO:0006355
AC198979.4_FGP009	GO:0003700
AC199039.3_FGP003	GO:0003676
