"IDENTIFIER.san"	"BINCODE"	"NAME"	"DEG.set"	"overrep.mapManBin"
"grmzm5g879536"	"13.1.1.1"	"Cell cycle.regulation.cyclins.CYCA-type cyclin"	"mms.v.sgltc"	"13.1.1.1"
"grmzm2g110258"	"13.1.1.11"	"Cell cycle.regulation.cyclins.CYL1-type cyclin"	"mms.v.sgltc"	"13.1.1.1"
"grmzm2g000706"	"13.1.1.11"	"Cell cycle.regulation.cyclins.CYL1-type cyclin"	"mms.v.sgltc"	"13.1.1.1"
"grmzm2g153541"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mmbs.v.sgstc"	"17.4.1"
"grmzm2g151193"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mmbs.v.sgstc"	"17.4.1"
"grmzm2g057535"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mmbs.v.sgstc"	"17.4.1"
"grmzm2g343543"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mmbs.v.sgstc"	"17.4.1"
"grmzm2g154218"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mmbs.v.sgstc"	"17.4.1"
"grmzm2g149768"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mmbs.v.sgstc"	"17.4.1"
"grmzm2g001327"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mmbs.v.sgstc"	"17.4.1"
"ac233866.1"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mmbs.v.sgstc"	"17.4.1"
"grmzm2g153541"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mms.v.sgltc"	"17.4.1"
"grmzm2g151193"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mms.v.sgltc"	"17.4.1"
"grmzm2g057535"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mms.v.sgltc"	"17.4.1"
"grmzm2g343543"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mms.v.sgltc"	"17.4.1"
"grmzm2g154218"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mms.v.sgltc"	"17.4.1"
"grmzm2g149768"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mms.v.sgltc"	"17.4.1"
"grmzm2g001327"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mms.v.sgltc"	"17.4.1"
"ac233866.1"	"17.4.1"	"Protein biosynthesis.translation elongation.eEF1A aminoacyl-tRNA binding factor"	"mms.v.sgltc"	"17.4.1"
"grmzm2g056903"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g150714"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g089819"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g055844"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g328781"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g163724"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g034572"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g012861"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g309897"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g409893"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g465771"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g141288"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g161664"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g046729"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"ac233893.1"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g066274"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g016480"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm5g836190"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g422373"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"ac218972.3"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g072868"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g080270"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"ac214817.3"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g012176"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g303768"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g059671"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g052658"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g028709"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g171677"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm5g882078"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g048243"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g110572"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g111269"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g097878"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g063069"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g063684"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g160922"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g104658"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g142068"	"18.9.1.32"	"Protein modification.phosphorylation.TKL kinase superfamily.PERK-related kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g055957"	"18.9.1.34"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-IV kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g159992"	"18.9.1.34"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-IV kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g040964"	"18.9.1.35"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-V kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g050861"	"18.9.1.35"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-V kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g026301"	"18.9.1.35"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-V kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g034855"	"18.9.1.35"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-V kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g031400"	"18.9.1.35"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-V kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g478876"	"18.9.1.35"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-V kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g176604"	"18.9.1.35"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-V kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g014366"	"18.9.1.35"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-V kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g147051"	"18.9.1.35"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-V kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g017386"	"18.9.1.35"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-V kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g162702"	"18.9.1.35"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-V kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g010953"	"18.9.1.35"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-V kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g114899"	"18.9.1.36"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VI kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g099754"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g074381"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g055982"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g178787"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g109566"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g076423"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g343024"	"18.9.1.38.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VIII kinase families.RLCK-VIII kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"ac233953.1"	"18.9.1.39.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-IX kinase families.RLCK-IXa kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm5g835629"	"18.9.1.39.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-IX kinase families.RLCK-IXa kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g433433"	"18.9.1.39.2"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-IX kinase families.RLCK-IXb kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g092550"	"18.9.1.39.2"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-IX kinase families.RLCK-IXb kinase"	"mmbs.v.sgstc"	"18.9.1.3"
"grmzm2g089819"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g163724"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g034572"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g012861"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g465771"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g339540"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g141288"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g029407"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g161664"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g046729"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"ac233893.1"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g066274"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g016480"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm5g836190"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g127687"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"ac218972.3"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"ac214817.3"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g012176"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g303768"	"18.9.1.3"	"Protein modification.phosphorylation.TKL kinase superfamily.LRR-III kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g059671"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g055334"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g152889"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g326472"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g110572"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g111269"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g063069"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm5g814851"	"18.9.1.30"	"Protein modification.phosphorylation.TKL kinase superfamily.MAP3K-RAF kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g055957"	"18.9.1.34"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-IV kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g034855"	"18.9.1.35"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-V kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g147051"	"18.9.1.35"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-V kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g010953"	"18.9.1.35"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-V kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g095302"	"18.9.1.36"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VI kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g114899"	"18.9.1.36"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VI kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g110968"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g158045"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g156824"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mms.v.sgltc"	"18.9.1.3"
"ac212835.3"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g007283"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g055982"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g178787"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g009869"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g109566"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g125762"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g140590"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g471779"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm5g879570"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g050701"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g142832"	"18.9.1.37.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VII kinase families.RLCK-VIIa kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g346132"	"18.9.1.38.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VIII kinase families.RLCK-VIII kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g085038"	"18.9.1.38.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VIII kinase families.RLCK-VIII kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g063897"	"18.9.1.38.2"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-VIII kinase families.RLCK-VIII-sis kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm5g835629"	"18.9.1.39.1"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-IX kinase families.RLCK-IXa kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g349344"	"18.9.1.39.2"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-IX kinase families.RLCK-IXb kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g092550"	"18.9.1.39.2"	"Protein modification.phosphorylation.TKL kinase superfamily.RLCK-IX kinase families.RLCK-IXb kinase"	"mms.v.sgltc"	"18.9.1.3"
"grmzm2g132371"	"20.1.3.4"	"Cytoskeleton.microtubular network.Kinesin microtubule-based motor protein activities.Kinesin-5 motor protein"	"mmbs.v.sgstc"	"20.1.3.4"
