peptideName	Pfam
AC190609.3_FGP001	PF07716
AC190609.3_FGP002	PF01781
AC190609.3_FGP003	PF08079
AC190609.3_FGP003	PF00327
AC190609.3_FGP004	PF00026
AC190623.3_FGP001	PF07123
AC190632.2_FGP004	PF00071
AC190636.3_FGP005	PF03171
AC190636.3_FGP005	PF14226
AC190638.3_FGP001	PF08555
AC190682.3_FGP014	PF03169
AC190688.3_FGP006	PF01453
AC190700.3_FGP002	PF14543
AC190713.3_FGP004	PF16205
AC190716.3_FGP001	PF00069
AC190734.2_FGP003	PF03634
AC190740.2_FGP004	PF02889
AC190749.3_FGP006	PF03637
AC190750.2_FGP014	PF00646
AC190753.4_FGP002	PF00931
AC190772.4_FGP011	PF00190
AC190788.2_FGP005	PF00488
AC190807.2_FGP001	PF00161
AC190822.2_FGP003	PF09118
AC190829.3_FGP002	PF00827
AC190834.3_FGP005	PF13086
AC190850.3_FGP004	PF08263
AC190853.3_FGP004	PF13041
AC190859.3_FGP006	PF14569
AC190885.4_FGP006	PF04525
AC190909.3_FGP003	PF04652
AC190909.3_FGP003	PF14288
AC190909.3_FGP004	PF02364
AC190915.3_FGP007	PF13920
AC190933.3_FGP004	PF00582
AC190936.1_FGP004	PF08627
AC190981.2_FGP007	PF05340
AC190990.2_FGP005	PF16900
AC190999.2_FGP004	PF00536
AC190999.2_FGP004	PF07522
AC191042.4_FGP001	PF13962
AC191048.2_FGP006	PF03208
AC191050.3_FGP003	PF00190
AC191069.3_FGP004	PF09597
AC191071.3_FGP001	PF13738
AC191097.3_FGP007	PF03188
AC191246.3_FGP006	PF12854
AC191246.3_FGP006	PF13812
AC191246.3_FGP006	PF01535
AC191251.3_FGP005	PF04078
AC191264.3_FGP002	PF13398
AC191272.3_FGP003	PF14144
AC191279.2_FGP001	PF02365
AC191279.2_FGP003	PF02365
AC191283.3_FGP004	PF13855
AC191283.3_FGP004	PF08263
AC191287.2_FGP001	PF08519
AC191287.2_FGP003	PF04937
AC191325.3_FGP005	PF00069
AC191330.3_FGP009	PF01535
AC191359.3_FGP003	PF02892
AC191375.3_FGP001	PF05498
AC191379.3_FGP002	PF07885
AC191412.3_FGP002	PF00118
AC191523.3_FGP001	PF04152
AC191524.3_FGP007	PF03092
AC191534.3_FGP003	PF00097
AC191534.3_FGP003	PF02182
AC191551.3_FGP003	PF08541
AC191551.3_FGP003	PF08545
AC191575.2_FGP001	PF13419
AC191622.3_FGP003	PF03641
AC191623.3_FGP007	PF13528
AC191650.3_FGP003	PF13639
AC191676.3_FGP011	PF00011
AC191748.3_FGP001	PF14303
AC191775.4_FGP004	PF14700
AC191802.3_FGP004	PF03662
AC191961.3_FGP009	PF13086
AC192236.3_FGP007	PF00931
AC192244.3_FGP002	PF00012
AC192244.3_FGP002	PF03360
AC192244.3_FGP007	PF01467
AC192251.3_FGP001	PF16900
AC192362.3_FGP003	PF00164
AC192377.3_FGP002	PF00390
AC192451.3_FGP001	PF02453
AC192606.3_FGP003	PF00098
AC193355.3_FGP005	PF05879
AC193362.3_FGP002	PF01157
AC193379.3_FGP001	PF08263
AC193379.3_FGP001	PF07714
AC193388.3_FGP003	PF03000
AC193485.3_FGP005	PF00112
AC193500.3_FGP003	PF13738
AC193500.3_FGP003	PF00743
AC193576.3_FGP003	PF00280
AC193598.3_FGP002	PF13855
AC193598.3_FGP002	PF00931
AC193625.3_FGP007	PF00005
AC193630.3_FGP003	PF03106
AC193632.2_FGP002	PF00069
AC193645.3_FGP006	PF04578
AC193645.3_FGP006	PF13968
AC193754.3_FGP008	PF05188
AC193754.3_FGP008	PF01624
AC193754.3_FGP008	PF05192
AC193767.3_FGP003	PF02362
AC193786.3_FGP005	PF00010
AC193957.3_FGP009	PF01453
AC194017.3_FGP001	PF00012
AC194027.3_FGP001	PF00141
AC194056.3_FGP008	PF05678
AC194069.3_FGP003	PF00467
AC194069.3_FGP003	PF00900
AC194074.4_FGP003	PF09790
AC194095.3_FGP004	PF13963
AC194104.3_FGP007	PF08711
AC194112.3_FGP001	PF01061
AC194133.3_FGP004	PF00281
AC194137.3_FGP008	PF04570
AC194163.3_FGP001	PF12776
AC194172.3_FGP008	PF04857
AC194192.3_FGP002	PF00082
AC194203.3_FGP003	PF14368
AC194259.3_FGP002	PF00258
AC194264.3_FGP006	PF06602
AC194289.3_FGP004	PF03108
AC194296.3_FGP001	PF00623
AC194296.3_FGP001	PF15469
AC194338.3_FGP008	PF10294
AC194341.4_FGP002	PF04718
AC194341.4_FGP003	PF07738
AC194341.4_FGP004	PF00646
AC194341.4_FGP004	PF08387
AC194341.4_FGP008	PF00091
AC194350.3_FGP001	PF00022
AC194362.3_FGP003	PF03106
AC194376.3_FGP002	PF09790
AC194405.3_FGP021	PF13589
AC194442.3_FGP004	PF03547
AC194447.3_FGP002	PF07890
AC194457.3_FGP001	PF07690
AC194457.3_FGP001	PF00083
AC194480.3_FGP001	PF00280
AC194480.3_FGP003	PF00280
AC194592.2_FGP001	PF08241
AC194610.2_FGP001	PF01823
AC194628.3_FGP003	PF00982
AC194734.3_FGP004	PF00504
AC194828.3_FGP004	PF06521
AC194852.3_FGP007	PF00544
AC194852.3_FGP007	PF04431
AC194852.3_FGP010	PF06376
AC194853.1_FGP002	PF05129
AC194863.3_FGP006	PF03055
AC194886.3_FGP015	PF14569
AC194914.3_FGP002	PF10604
AC194965.4_FGP001	PF01590
AC194965.4_FGP001	PF02518
AC194965.4_FGP001	PF00512
AC194965.4_FGP004	PF00320
AC194970.5_FGP001	PF00348
AC194970.5_FGP002	PF05687
AC194970.5_FGP004	PF13320
AC194970.5_FGP005	PF03151
AC194970.5_FGP009	PF06068
AC194972.2_FGP001	PF13912
AC194974.3_FGP005	PF00139
AC195059.3_FGP003	PF04424
AC195147.3_FGP001	PF00651
AC195154.3_FGP004	PF01843
AC195172.3_FGP001	PF01012
AC195172.3_FGP001	PF00766
AC195207.2_FGP002	PF12776
AC195211.3_FGP001	PF00900
AC195220.3_FGP005	PF02902
AC195220.3_FGP007	PF03348
AC195230.2_FGP003	PF00069
AC195307.3_FGP001	PF16900
AC195319.3_FGP001	PF13193
AC195319.3_FGP001	PF03283
AC195323.3_FGP011	PF04030
AC195340.3_FGP001	PF03953
AC195340.3_FGP001	PF00091
AC195340.3_FGP002	PF12838
AC195340.3_FGP004	PF02309
AC195340.3_FGP004	PF14383
AC195343.3_FGP002	PF00166
AC195349.3_FGP005	PF00069
AC195366.3_FGP008	PF03371
AC195366.3_FGP008	PF01704
AC195401.3_FGP002	PF05770
AC195466.3_FGP001	PF08700
AC195580.2_FGP010	PF07911
AC195587.4_FGP001	PF00319
AC195587.4_FGP003	PF04601
AC195587.4_FGP004	PF12697
AC195587.4_FGP004	PF00931
AC195587.4_FGP005	PF01486
AC195671.2_FGP001	PF00743
AC195685.3_FGP001	PF12708
AC195685.3_FGP001	PF08423
AC195785.3_FGP004	PF08276
AC195785.3_FGP004	PF01453
AC195785.3_FGP004	PF00069
AC195789.3_FGP001	PF13371
AC195789.3_FGP001	PF13414
AC195794.3_FGP002	PF07883
AC195825.3_FGP001	PF01535
AC195825.3_FGP001	PF13041
AC195828.3_FGP002	PF00069
AC195833.3_FGP001	PF00225
AC195860.3_FGP005	PF06747
AC195860.3_FGP006	PF00687
AC195864.3_FGP017	PF01535
AC195874.2_FGP002	PF01217
AC195995.3_FGP006	PF12776
AC196008.1_FGP004	PF11250
AC196020.3_FGP001	PF14291
AC196031.3_FGP006	PF00862
AC196037.3_FGP001	PF05928
AC196090.3_FGP006	PF02225
AC196090.3_FGP006	PF05922
AC196090.3_FGP006	PF00082
AC196135.3_FGP006	PF14303
AC196144.3_FGP002	PF00467
AC196144.3_FGP002	PF12842
AC196144.3_FGP002	PF16415
AC196161.3_FGP002	PF13837
AC196166.3_FGP003	PF03096
AC196183.3_FGP002	PF07714
AC196183.3_FGP002	PF08276
AC196193.3_FGP003	PF02721
AC196193.3_FGP003	PF08646
AC196201.3_FGP005	PF04068
AC196278.2_FGP003	PF03104
AC196278.2_FGP004	PF03104
AC196294.3_FGP005	PF01486
AC196412.3_FGP001	PF00282
AC196417.3_FGP008	PF00304
AC196426.3_FGP007	PF05879
AC196436.3_FGP002	PF13963
AC196437.3_FGP001	PF01282
AC196441.3_FGP004	PF00862
AC196465.3_FGP002	PF05078
AC196465.3_FGP006	PF15613
AC196465.3_FGP006	PF15612
AC196465.3_FGP006	PF05066
AC196465.3_FGP006	PF02791
AC196475.3_FGP004	PF08100
AC196475.3_FGP004	PF00891
AC196475.3_FGP005	PF02365
AC196489.3_FGP002	PF00298
AC196489.3_FGP002	PF03946
AC196502.3_FGP003	PF16709
AC196502.3_FGP003	PF16712
AC196502.3_FGP006	PF04601
AC196637.2_FGP002	PF14432
AC196637.2_FGP002	PF01535
AC196637.2_FGP002	PF13041
AC196686.3_FGP001	PF14569
AC196708.3_FGP006	PF02519
AC196710.3_FGP009	PF05633
AC196711.3_FGP003	PF12230
AC196779.3_FGP003	PF03767
AC196954.2_FGP012	PF03168
AC196961.2_FGP003	PF15511
AC196961.2_FGP008	PF06972
AC196972.3_FGP009	PF13893
AC196978.5_FGP007	PF00160
AC197007.3_FGP007	PF03662
AC197016.3_FGP003	PF03092
AC197029.3_FGP003	PF00069
AC197047.3_FGP001	PF04570
AC197078.4_FGP002	PF00076
AC197095.3_FGP004	PF01535
AC197095.3_FGP004	PF13041
AC197118.3_FGP005	PF10357
AC197122.3_FGP003	PF04065
AC197124.3_FGP004	PF06093
AC197143.3_FGP007	PF00188
AC197146.3_FGP001	PF02724
AC197146.3_FGP002	PF00249
AC197150.3_FGP003	PF00027
AC197150.3_FGP003	PF00520
AC197164.4_FGP002	PF16900
AC197168.3_FGP001	PF00202
AC197196.3_FGP002	PF01593
AC197242.3_FGP001	PF02458
AC197246.3_FGP001	PF00025
AC197246.3_FGP003	PF01655
AC197333.2_FGP001	PF01959
AC197354.3_FGP002	PF00072
AC197362.3_FGP002	PF00069
AC197364.3_FGP007	PF02365
AC197429.3_FGP001	PF03514
AC197435.3_FGP002	PF09713
AC197435.3_FGP002	PF16969
AC197446.3_FGP009	PF00112
AC197498.3_FGP002	PF13637
AC197541.3_FGP009	PF03283
AC197544.3_FGP001	PF00270
AC197544.3_FGP001	PF06045
AC197544.3_FGP002	PF02902
AC197555.3_FGP007	PF13041
AC197555.3_FGP007	PF01535
AC197555.3_FGP008	PF02502
AC197575.3_FGP005	PF03572
AC197575.3_FGP008	PF00244
AC197577.2_FGP002	PF08557
AC197578.4_FGP001	PF01915
AC197578.4_FGP001	PF00933
AC197672.3_FGP002	PF00364
AC197672.3_FGP002	PF13535
AC197672.3_FGP002	PF02785
AC197672.3_FGP002	PF00289
AC197672.3_FGP002	PF08326
AC197672.3_FGP002	PF01039
AC197699.3_FGP001	PF01486
AC197699.3_FGP002	PF03055
AC197699.3_FGP003	PF04601
AC197699.3_FGP003	PF14226
AC197699.3_FGP003	PF03171
AC197699.3_FGP005	PF05129
AC197699.3_FGP008	PF05129
AC197699.3_FGP009	PF05129
AC197699.3_FGP010	PF05129
AC197705.4_FGP001	PF02775
AC197705.4_FGP001	PF00205
AC197705.4_FGP001	PF02776
AC197705.4_FGP003	PF01161
AC197705.4_FGP004	PF13639
AC197705.4_FGP006	PF13920
AC197705.4_FGP007	PF07244
AC197705.4_FGP007	PF01103
AC197705.4_FGP008	PF05097
AC197705.4_FGP011	PF01704
AC197714.3_FGP005	PF02181
AC197717.3_FGP002	PF16136
AC197717.3_FGP002	PF16135
AC197717.3_FGP002	PF07897
AC197718.3_FGP002	PF14303
AC197758.3_FGP004	PF00141
AC197764.4_FGP003	PF06200
AC197764.4_FGP003	PF09425
AC197783.3_FGP005	PF02683
AC197910.3_FGP001	PF00010
AC197914.2_FGP001	PF04727
AC198081.2_FGP005	PF13912
AC198118.4_FGP002	PF00067
AC198169.4_FGP004	PF04851
AC198169.4_FGP004	PF00271
AC198179.4_FGP001	PF03372
AC198179.4_FGP002	PF03372
AC198206.5_FGP001	PF01565
AC198206.5_FGP001	PF04030
AC198206.5_FGP002	PF02171
AC198225.4_FGP002	PF02148
AC198353.5_FGP001	PF00450
AC198353.5_FGP004	PF13847
AC198353.5_FGP004	PF01029
AC198361.3_FGP004	PF00076
AC198366.3_FGP004	PF03514
AC198380.3_FGP001	PF00759
AC198398.3_FGP005	PF07714
AC198403.3_FGP001	PF00847
AC198418.3_FGP005	PF04851
AC198418.3_FGP005	PF00098
AC198418.3_FGP005	PF08152
AC198418.3_FGP005	PF00271
AC198476.3_FGP004	PF02892
AC198481.3_FGP004	PF02259
AC198481.3_FGP004	PF00454
AC198506.3_FGP001	PF13912
AC198509.3_FGP004	PF06916
AC198515.3_FGP011	PF03169
AC198518.3_FGP002	PF00536
AC198518.3_FGP003	PF15249
AC198518.3_FGP005	PF00010
AC198597.4_FGP001	PF00141
AC198597.4_FGP001	PF14009
AC198699.3_FGP004	PF01070
AC198699.3_FGP004	PF04078
AC198700.2_FGP004	PF00854
AC198725.4_FGP004	PF04844
AC198725.4_FGP007	PF12717
AC198725.4_FGP007	PF09066
AC198725.4_FGP007	PF01602
AC198725.4_FGP009	PF03106
AC198731.3_FGP004	PF01535
AC198743.3_FGP008	PF13041
AC198749.3_FGP004	PF01208
AC198937.4_FGP002	PF14569
AC198937.4_FGP005	PF02365
AC198971.3_FGP006	PF02866
AC198979.4_FGP009	PF00847
AC199001.3_FGP005	PF16486
AC199001.3_FGP005	PF12764
AC199039.3_FGP003	PF00076
AC199067.2_FGP004	PF04520
AC199068.2_FGP017	PF00931
AC199175.2_FGP003	PF04646
AC199175.2_FGP006	PF01776
AC199198.3_FGP005	PF07651
AC199314.3_FGP002	PF02892
AC199315.4_FGP001	PF03911
AC199343.3_FGP013	PF00462
AC199363.4_FGP003	PF13414
AC199379.4_FGP001	PF16900
AC199439.4_FGP005	PF00069
AC199439.4_FGP005	PF00012
AC199487.4_FGP002	PF00280
AC199487.4_FGP003	PF00280
AC199487.4_FGP004	PF00280
AC199488.4_FGP003	PF00280
AC199488.4_FGP004	PF00280
AC199526.5_FGP002	PF00438
AC199526.5_FGP002	PF02772
AC199526.5_FGP002	PF02773
AC199526.5_FGP003	PF01985
AC199541.4_FGP001	PF00201
AC199541.4_FGP002	PF00201
AC199541.4_FGP004	PF00201
AC199541.4_FGP007	PF00201
AC199543.4_FGP004	PF07762
AC199571.3_FGP004	PF00085
AC199572.3_FGP001	PF07714
AC199701.4_FGP001	PF03004
AC199765.4_FGP008	PF00759
AC199771.4_FGP001	PF08137
AC199782.5_FGP001	PF01656
AC199782.5_FGP002	PF01154
AC199782.5_FGP002	PF08540
AC199782.5_FGP003	PF03634
AC199810.3_FGP003	PF00069
AC199820.4_FGP006	PF00249
AC199826.4_FGP003	PF00989
AC199884.4_FGP007	PF01416
AC199884.4_FGP007	PF03141
AC199908.4_FGP002	PF01301
AC199908.4_FGP003	PF01564
AC199911.5_FGP001	PF01813
AC199917.4_FGP003	PF07714
AC200057.4_FGP006	PF14303
AC200057.4_FGP007	PF00170
AC200099.4_FGP006	PF00067
AC200101.4_FGP002	PF00012
AC200108.4_FGP003	PF06814
AC200112.4_FGP007	PF12678
AC200124.3_FGP005	PF03514
AC200210.1_FGP006	PF00675
AC200211.3_FGP008	PF00069
AC200298.4_FGP001	PF00403
AC200321.3_FGP004	PF02453
AC200493.4_FGP001	PF16712
AC200745.4_FGP007	PF14363
AC200753.3_FGP003	PF00168
AC200753.3_FGP003	PF08372
AC201815.4_FGP001	PF01535
AC201815.4_FGP001	PF13041
AC201832.3_FGP006	PF00808
AC201894.4_FGP007	PF01504
AC202011.3_FGP010	PF03087
AC202069.3_FGP002	PF00067
AC202073.4_FGP001	PF07887
AC202110.3_FGP004	PF00005
AC202120.3_FGP003	PF09180
AC202132.4_FGP002	PF03619
AC202139.3_FGP008	PF00270
AC202158.3_FGP002	PF16113
AC202172.3_FGP004	PF00304
AC202179.3_FGP005	PF13041
AC202181.3_FGP003	PF13087
AC202185.4_FGP004	PF00011
AC202386.3_FGP002	PF04053
AC202386.3_FGP002	PF06957
AC202391.4_FGP002	PF00098
AC202435.3_FGP001	PF08238
AC202435.3_FGP003	PF00149
AC202439.3_FGP006	PF00474
AC202561.3_FGP009	PF00067
AC202707.3_FGP002	PF01088
AC202855.3_FGP004	PF04535
AC202864.3_FGP002	PF00320
AC202867.3_FGP008	PF00403
AC202895.3_FGP002	PF06733
AC202915.3_FGP002	PF00300
AC202974.3_FGP004	PF03168
AC203019.3_FGP001	PF00337
AC203031.3_FGP002	PF08612
AC203041.3_FGP005	PF00141
AC203049.3_FGP002	PF14570
AC203051.3_FGP003	PF08392
AC203159.3_FGP010	PF02298
AC203173.3_FGP001	PF13178
AC203173.3_FGP001	PF00612
AC203173.3_FGP002	PF08263
AC203173.3_FGP002	PF00560
AC203173.3_FGP002	PF00069
AC203173.3_FGP002	PF13855
AC203173.3_FGP004	PF14492
AC203173.3_FGP004	PF03144
AC203173.3_FGP004	PF00679
AC203173.3_FGP004	PF03764
AC203173.3_FGP004	PF00009
AC203227.3_FGP001	PF04759
AC203257.2_FGP003	PF12678
AC203262.3_FGP002	PF04398
AC203280.3_FGP001	PF00076
AC203294.3_FGP001	PF13499
AC203294.3_FGP001	PF07714
AC203294.3_FGP012	PF05678
AC203324.3_FGP010	PF13912
AC203334.2_FGP001	PF00892
AC203352.3_FGP001	PF04107
AC203362.4_FGP012	PF01095
AC203408.4_FGP003	PF00759
AC203423.3_FGP009	PF14111
AC203424.3_FGP001	PF07774
AC203535.4_FGP001	PF13921
AC203535.4_FGP001	PF11831
AC203535.4_FGP002	PF02365
AC203535.4_FGP004	PF13806
AC203535.4_FGP007	PF07714
AC203535.4_FGP009	PF04545
AC203570.4_FGP005	PF00855
AC203581.4_FGP001	PF00190
AC203752.5_FGP002	PF00133
AC203753.4_FGP006	PF01055
AC203754.4_FGP008	PF00696
AC203761.3_FGP002	PF01751
AC203761.3_FGP002	PF01131
AC203768.3_FGP005	PF01435
AC203810.4_FGP002	PF14695
AC203841.3_FGP002	PF14432
AC203841.3_FGP002	PF01535
AC203841.3_FGP002	PF13041
AC203841.3_FGP009	PF04080
AC203862.4_FGP001	PF01650
AC203862.4_FGP002	PF00855
AC203865.3_FGP001	PF03638
AC203900.3_FGP006	PF13855
AC203909.3_FGP003	PF08031
AC203909.3_FGP003	PF01565
AC203909.3_FGP007	PF08031
AC203909.3_FGP007	PF01565
AC203955.3_FGP005	PF07466
AC203956.3_FGP004	PF05697
AC203957.3_FGP004	PF00170
AC203966.5_FGP003	PF03629
AC203966.5_FGP005	PF14226
AC203966.5_FGP005	PF03171
AC203966.5_FGP006	PF00232
AC203967.4_FGP004	PF00675
AC203971.3_FGP005	PF13962
AC203972.3_FGP001	PF00931
AC203972.3_FGP002	PF07714
AC203985.4_FGP001	PF07690
AC203985.4_FGP005	PF01920
AC203989.4_FGP001	PF07847
AC204000.2_FGP001	PF14569
AC204007.3_FGP001	PF12695
AC204050.4_FGP006	PF14531
AC204070.3_FGP004	PF00063
AC204212.4_FGP001	PF00249
AC204277.3_FGP006	PF03141
AC204292.4_FGP002	PF14432
AC204292.4_FGP002	PF01535
AC204292.4_FGP002	PF13041
AC204292.4_FGP003	PF00168
AC204292.4_FGP006	PF05922
AC204292.4_FGP006	PF00082
AC204301.3_FGP002	PF11250
AC204306.3_FGP007	PF13639
AC204359.3_FGP005	PF03151
AC204382.3_FGP010	PF01486
AC204407.3_FGP004	PF00931
AC204437.3_FGP004	PF10294
AC204472.3_FGP002	PF13532
AC204502.4_FGP006	PF13724
AC204502.4_FGP006	PF04844
