"BINCODE"	"NAME"	"IDENTIFIER"	"DESCRIPTION"	"TYPE"	"IDENTIFIER.san"
"35.2"	"not assigned.unknown"	"grmzm2g091672_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:5:55578326:55582323:-1 gene:GRMZM2G091672 transcript:GRMZM2G091672_T01 description:\"abinitio|est|protein\")"	"TRUE"	"grmzm2g091672"
"35.2"	"not assigned.unknown"	"grmzm2g091696_p01"	" no hits & (original description: pep:known chromosome:AGPv3:5:55590775:55599910:-1 gene:GRMZM2G091696 transcript:GRMZM2G091696_T01 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g091696"
"35.2"	"not assigned.unknown"	"grmzm2g105428_p01"	" no hits & (original description: pep:known chromosome:AGPv3:5:55809843:55813411:-1 gene:GRMZM2G105428 transcript:GRMZM2G105428_T01 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g105428"
"35.2"	"not assigned.unknown"	"grmzm2g454718_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:5:55977976:55979514:1 gene:GRMZM2G454718 transcript:GRMZM2G454718_T01 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g454718"
"35.2"	"not assigned.unknown"	"grmzm2g469414_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:5:57234376:57240744:1 gene:GRMZM2G469414 transcript:GRMZM2G469414_T01 description:\"abinitio|est|omrna|protein\")"	"TRUE"	"grmzm2g469414"
"35.2"	"not assigned.unknown"	"grmzm2g060583_p01"	" no hits & (original description: pep:known chromosome:AGPv3:5:64802785:64807893:-1 gene:GRMZM2G060583 transcript:GRMZM2G060583_T01 description:\"cdna|est|protein\")"	"TRUE"	"grmzm2g060583"
"35.2"	"not assigned.unknown"	"grmzm5g898898_p01"	" no hits & (original description: pep:known chromosome:AGPv3:5:205233725:205237469:1 gene:GRMZM5G898898 transcript:GRMZM5G898898_T01 description:\"est|oprotein\")"	"TRUE"	"grmzm5g898898"
"35.2"	"not assigned.unknown"	"grmzm2g308369_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:4:1081917:1094326:-1 gene:GRMZM2G308369 transcript:GRMZM2G308369_T01 description:\"oprotein\")"	"TRUE"	"grmzm2g308369"
"35.2"	"not assigned.unknown"	"grmzm2g455909_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:4:1553768:1556576:-1 gene:GRMZM2G455909 transcript:GRMZM2G455909_T01 description:\"abinitio|omrna\")"	"TRUE"	"grmzm2g455909"
"35.2"	"not assigned.unknown"	"grmzm2g455321_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:4:1873582:1875342:1 gene:GRMZM2G455321 transcript:GRMZM2G455321_T01 description:\"abinitio|protein\")"	"TRUE"	"grmzm2g455321"
"35.2"	"not assigned.unknown"	"grmzm2g311664_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:4:1915881:1922172:-1 gene:GRMZM2G311664 transcript:GRMZM2G311664_T01 description:\"abinitio|protein\")"	"TRUE"	"grmzm2g311664"
"35.2"	"not assigned.unknown"	"grmzm2g013170_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:4:1940774:1946421:-1 gene:GRMZM2G013170 transcript:GRMZM2G013170_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g013170"
"35.2"	"not assigned.unknown"	"grmzm2g171045_p01"	" no hits & (original description: pep:known chromosome:AGPv3:4:2383933:2404454:-1 gene:GRMZM2G171045 transcript:GRMZM2G171045_T01 description:\"cdna|est\")"	"TRUE"	"grmzm2g171045"
"35.2"	"not assigned.unknown"	"grmzm2g448282_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:4:2412312:2414762:1 gene:GRMZM2G448282 transcript:GRMZM2G448282_T01 description:\"abinitio|est\")"	"TRUE"	"grmzm2g448282"
"35.2"	"not assigned.unknown"	"grmzm2g333659_p01"	" no hits & (original description: pep:known chromosome:AGPv3:4:15625718:15635892:1 gene:GRMZM2G333659 transcript:GRMZM2G333659_T01 description:\"est|mrna\")"	"TRUE"	"grmzm2g333659"
"35.2"	"not assigned.unknown"	"grmzm2g304049_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:4:42287260:42289282:-1 gene:GRMZM2G304049 transcript:GRMZM2G304049_T01 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g304049"
"35.2"	"not assigned.unknown"	"grmzm2g025903_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:4:42306205:42307763:-1 gene:GRMZM2G025903 transcript:GRMZM2G025903_T01 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g025903"
"35.2"	"not assigned.unknown"	"grmzm2g059339_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:4:157902482:157903591:1 gene:GRMZM2G059339 transcript:GRMZM2G059339_T01 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g059339"
"35.2"	"not assigned.unknown"	"grmzm2g380784_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:4:185642204:185660442:-1 gene:GRMZM2G380784 transcript:GRMZM2G380784_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g380784"
"35.2"	"not assigned.unknown"	"grmzm2g158316_p01"	" no hits & (original description: pep:known chromosome:AGPv3:4:185660976:185663417:-1 gene:GRMZM2G158316 transcript:GRMZM2G158316_T01 description:\"est\")"	"TRUE"	"grmzm2g158316"
"35.2"	"not assigned.unknown"	"grmzm2g111928_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:4:185739331:185740582:-1 gene:GRMZM2G111928 transcript:GRMZM2G111928_T01 description:\"omrna|protein\")"	"TRUE"	"grmzm2g111928"
"35.2"	"not assigned.unknown"	"grmzm5g880361_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:4:187636692:187641029:-1 gene:GRMZM5G880361 transcript:GRMZM5G880361_T01 description:\"abinitio\")"	"TRUE"	"grmzm5g880361"
"35.2"	"not assigned.unknown"	"grmzm2g050959_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:4:189470957:189474033:-1 gene:GRMZM2G050959 transcript:GRMZM2G050959_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g050959"
"35.2"	"not assigned.unknown"	"grmzm2g067555_p01"	" no hits & (original description: pep:known chromosome:AGPv3:4:198293916:198298368:1 gene:GRMZM2G067555 transcript:GRMZM2G067555_T01 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g067555"
"35.2"	"not assigned.unknown"	"grmzm2g067555_p02"	" no hits & (original description: pep:known chromosome:AGPv3:4:198294392:198298234:1 gene:GRMZM2G067555 transcript:GRMZM2G067555_T02 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g067555"
"35.2"	"not assigned.unknown"	"grmzm2g327659_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:4:200912556:200916516:-1 gene:GRMZM2G327659 transcript:GRMZM2G327659_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g327659"
"35.2"	"not assigned.unknown"	"grmzm2g039878_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:4:201813148:201815687:1 gene:GRMZM2G039878 transcript:GRMZM2G039878_T01 description:\"abinitio|est|omrna|protein\")"	"TRUE"	"grmzm2g039878"
"35.2"	"not assigned.unknown"	"grmzm2g005347_p01"	" no hits & (original description: pep:known chromosome:AGPv3:4:203407679:203411551:1 gene:GRMZM2G005347 transcript:GRMZM2G005347_T01 description:\"abinitio|est|protein\")"	"TRUE"	"grmzm2g005347"
"35.2"	"not assigned.unknown"	"grmzm2g005347_p02"	" no hits & (original description: pep:known chromosome:AGPv3:4:203408756:203411878:1 gene:GRMZM2G005347 transcript:GRMZM2G005347_T02 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g005347"
"35.2"	"not assigned.unknown"	"grmzm2g005452_p01"	" no hits & (original description: pep:known chromosome:AGPv3:4:203456994:203463296:-1 gene:GRMZM2G005452 transcript:GRMZM2G005452_T01 description:\"abinitio|cdna|est\")"	"TRUE"	"grmzm2g005452"
"35.2"	"not assigned.unknown"	"grmzm2g005452_p02"	" no hits & (original description: pep:known chromosome:AGPv3:4:203457269:203460400:-1 gene:GRMZM2G005452 transcript:GRMZM2G005452_T02 description:\"est|protein\")"	"TRUE"	"grmzm2g005452"
"35.2"	"not assigned.unknown"	"grmzm2g308064_p01"	" no hits & (original description: pep:known chromosome:AGPv3:4:203637272:203646991:-1 gene:GRMZM2G308064 transcript:GRMZM2G308064_T01 description:\"est\")"	"TRUE"	"grmzm2g308064"
"35.2"	"not assigned.unknown"	"grmzm2g006780_p01"	" no hits & (original description: pep:known chromosome:AGPv3:4:203709872:203712302:-1 gene:GRMZM2G006780 transcript:GRMZM2G006780_T01 description:\"abinitio|cdna|est|omrna\")"	"TRUE"	"grmzm2g006780"
"35.2"	"not assigned.unknown"	"grmzm2g167049_p01"	" no hits & (original description: pep:known chromosome:AGPv3:4:203818715:203824772:1 gene:GRMZM2G167049 transcript:GRMZM2G167049_T01 description:\"est\")"	"TRUE"	"grmzm2g167049"
"35.2"	"not assigned.unknown"	"grmzm2g051502_p01"	" no hits & (original description: pep:known chromosome:AGPv3:4:214300902:214309841:-1 gene:GRMZM2G051502 transcript:GRMZM2G051502_T01 description:\"abinitio|est|omrna|protein\")"	"TRUE"	"grmzm2g051502"
"35.2"	"not assigned.unknown"	"grmzm2g051502_p02"	" no hits & (original description: pep:known chromosome:AGPv3:4:214308241:214309856:-1 gene:GRMZM2G051502 transcript:GRMZM2G051502_T02 description:\"cdna|est|protein\")"	"TRUE"	"grmzm2g051502"
"35.2"	"not assigned.unknown"	"grmzm2g132403_p01"	" no hits & (original description: pep:known chromosome:AGPv3:4:218124684:218127963:1 gene:GRMZM2G132403 transcript:GRMZM2G132403_T01 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g132403"
"35.2"	"not assigned.unknown"	"grmzm2g474092_p01"	" no hits & (original description: pep:known chromosome:AGPv3:4:232498917:232502424:1 gene:GRMZM2G474092 transcript:GRMZM2G474092_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g474092"
"35.2"	"not assigned.unknown"	"grmzm2g032602_p01"	" no hits & (original description: pep:known chromosome:AGPv3:2:29557868:29562262:-1 gene:GRMZM2G032602 transcript:GRMZM2G032602_T01 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g032602"
"35.2"	"not assigned.unknown"	"grmzm2g450496_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:2:97740216:97755349:-1 gene:GRMZM2G450496 transcript:GRMZM2G450496_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g450496"
"35.2"	"not assigned.unknown"	"grmzm2g076474_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:2:113990307:113993559:-1 gene:GRMZM2G076474 transcript:GRMZM2G076474_T01 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g076474"
"35.2"	"not assigned.unknown"	"grmzm2g376708_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:2:114028833:114057673:-1 gene:GRMZM2G376708 transcript:GRMZM2G376708_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g376708"
"35.2"	"not assigned.unknown"	"grmzm2g065692_p01"	" no hits & (original description: pep:known chromosome:AGPv3:2:134668301:134679003:-1 gene:GRMZM2G065692 transcript:GRMZM2G065692_T01 description:\"cdna|est|omrna\")"	"TRUE"	"grmzm2g065692"
"35.2"	"not assigned.unknown"	"grmzm2g003755_p01"	" no hits & (original description: pep:known chromosome:AGPv3:2:134763419:134769548:-1 gene:GRMZM2G003755 transcript:GRMZM2G003755_T01 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g003755"
"35.2"	"not assigned.unknown"	"grmzm2g079082_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:2:209789141:209793322:-1 gene:GRMZM2G079082 transcript:GRMZM2G079082_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g079082"
"35.2"	"not assigned.unknown"	"grmzm2g354013_p01"	" no hits & (original description: pep:known chromosome:AGPv3:2:213970923:213973861:1 gene:GRMZM2G354013 transcript:GRMZM2G354013_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g354013"
"35.2"	"not assigned.unknown"	"grmzm2g354013_p02"	" no hits & (original description: pep:known chromosome:AGPv3:2:213970923:213974319:1 gene:GRMZM2G354013 transcript:GRMZM2G354013_T02 description:\"est\")"	"TRUE"	"grmzm2g354013"
"35.2"	"not assigned.unknown"	"grmzm2g379770_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:2:214870532:214873480:1 gene:GRMZM2G379770 transcript:GRMZM2G379770_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g379770"
"35.2"	"not assigned.unknown"	"grmzm5g837251_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:2:222145605:222148836:1 gene:GRMZM5G837251 transcript:GRMZM5G837251_T01 description:\"abinitio\")"	"TRUE"	"grmzm5g837251"
"35.2"	"not assigned.unknown"	"grmzm2g074496_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:2:225896403:225899247:-1 gene:GRMZM2G074496 transcript:GRMZM2G074496_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g074496"
"35.2"	"not assigned.unknown"	"grmzm2g078013_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:2:229691128:229697078:1 gene:GRMZM2G078013 transcript:GRMZM2G078013_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g078013"
"35.2"	"not assigned.unknown"	"grmzm2g452954_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:2:231089786:231091520:1 gene:GRMZM2G452954 transcript:GRMZM2G452954_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g452954"
"35.2"	"not assigned.unknown"	"ac199068.2_fgp017"	" no hits & (original description: pep:known chromosome:AGPv3:2:236154599:236156358:-1 gene:AC199068.2_FG017 transcript:AC199068.2_FGT017 description:\"est|mrna\")"	"TRUE"	"ac199068.2"
"35.2"	"not assigned.unknown"	"grmzm2g070503_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:2:236854869:236856413:1 gene:GRMZM2G070503 transcript:GRMZM2G070503_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g070503"
"35.2"	"not assigned.unknown"	"grmzm2g094664_p01"	" no hits & (original description: pep:known chromosome:AGPv3:2:237541935:237545769:1 gene:GRMZM2G094664 transcript:GRMZM2G094664_T01 description:\"abinitio|est\")"	"TRUE"	"grmzm2g094664"
"35.2"	"not assigned.unknown"	"grmzm2g094664_p02"	" no hits & (original description: pep:known chromosome:AGPv3:2:237541842:237545689:1 gene:GRMZM2G094664 transcript:GRMZM2G094664_T02 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g094664"
"35.2"	"not assigned.unknown"	"grmzm2g396357_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:2:237566351:237571362:-1 gene:GRMZM2G396357 transcript:GRMZM2G396357_T01 description:\"abinitio|est\")"	"TRUE"	"grmzm2g396357"
"35.2"	"not assigned.unknown"	"grmzm2g091088_p01"	" no hits & (original description: pep:known chromosome:AGPv3:3:61341905:61344669:-1 gene:GRMZM2G091088 transcript:GRMZM2G091088_T01 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g091088"
"35.2"	"not assigned.unknown"	"grmzm2g044724_p01"	" no hits & (original description: pep:known chromosome:AGPv3:3:85672960:85676903:1 gene:GRMZM2G044724 transcript:GRMZM2G044724_T01 description:\"abinitio|est|omrna\")"	"TRUE"	"grmzm2g044724"
"35.2"	"not assigned.unknown"	"grmzm2g044724_p02"	" no hits & (original description: pep:known chromosome:AGPv3:3:85672960:85676869:1 gene:GRMZM2G044724 transcript:GRMZM2G044724_T02 description:\"cdna|est|omrna\")"	"TRUE"	"grmzm2g044724"
"35.2"	"not assigned.unknown"	"grmzm2g044724_p03"	" no hits & (original description: pep:known chromosome:AGPv3:3:85672960:85676869:1 gene:GRMZM2G044724 transcript:GRMZM2G044724_T03 description:\"est|omrna\")"	"TRUE"	"grmzm2g044724"
"35.2"	"not assigned.unknown"	"grmzm2g044724_p04"	" no hits & (original description: pep:known chromosome:AGPv3:3:85672960:85676740:1 gene:GRMZM2G044724 transcript:GRMZM2G044724_T04 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g044724"
"35.2"	"not assigned.unknown"	"ac230011.2_fgp001"	" no hits & (original description: pep:novel chromosome:AGPv3:3:113912578:113913012:1 gene:AC230011.2_FG001 transcript:AC230011.2_FGT001 description:\"abinitio\")"	"TRUE"	"ac230011.2"
"35.2"	"not assigned.unknown"	"ac230011.2_fgp002"	" no hits & (original description: pep:known chromosome:AGPv3:3:113913960:113920267:-1 gene:AC230011.2_FG002 transcript:AC230011.2_FGT002 description:\"abinitio\")"	"TRUE"	"ac230011.2"
"35.2"	"not assigned.unknown"	"grmzm2g454039_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:3:127874087:127877026:1 gene:GRMZM2G454039 transcript:GRMZM2G454039_T01 description:\"oprotein\")"	"TRUE"	"grmzm2g454039"
"35.2"	"not assigned.unknown"	"grmzm2g064015_p01"	" no hits & (original description: pep:known chromosome:AGPv3:3:132410799:132412650:-1 gene:GRMZM2G064015 transcript:GRMZM2G064015_T01 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g064015"
"35.2"	"not assigned.unknown"	"grmzm2g302279_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:3:132637536:132639351:-1 gene:GRMZM2G302279 transcript:GRMZM2G302279_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g302279"
"35.2"	"not assigned.unknown"	"grmzm2g047652_p01"	" no hits & (original description: pep:known chromosome:AGPv3:3:188433722:188435241:-1 gene:GRMZM2G047652 transcript:GRMZM2G047652_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g047652"
"35.2"	"not assigned.unknown"	"grmzm2g103135_p01"	" no hits & (original description: pep:known chromosome:AGPv3:3:188513398:188515764:1 gene:GRMZM2G103135 transcript:GRMZM2G103135_T01 description:\"omrna|protein\")"	"TRUE"	"grmzm2g103135"
"35.2"	"not assigned.unknown"	"grmzm2g178704_p01"	" no hits & (original description: pep:known chromosome:AGPv3:3:188572052:188573581:-1 gene:GRMZM2G178704 transcript:GRMZM2G178704_T01 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g178704"
"35.2"	"not assigned.unknown"	"grmzm2g173647_p01"	" no hits & (original description: pep:known chromosome:AGPv3:3:189832965:189836546:1 gene:GRMZM2G173647 transcript:GRMZM2G173647_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g173647"
"35.2"	"not assigned.unknown"	"ac213769.3_fgp001"	" no hits & (original description: pep:novel chromosome:AGPv3:3:202295637:202297205:1 gene:AC213769.3_FG001 transcript:AC213769.3_FGT001 description:\"abinitio\")"	"TRUE"	"ac213769.3"
"35.2"	"not assigned.unknown"	"grmzm2g116271_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:3:202326228:202328969:1 gene:GRMZM2G116271 transcript:GRMZM2G116271_T01 description:\"omrna|protein\")"	"TRUE"	"grmzm2g116271"
"35.2"	"not assigned.unknown"	"grmzm2g403151_p01"	" no hits & (original description: pep:known chromosome:AGPv3:9:19238355:19245346:-1 gene:GRMZM2G403151 transcript:GRMZM2G403151_T01 description:\"abinitio|est|omrna|protein\")"	"TRUE"	"grmzm2g403151"
"35.2"	"not assigned.unknown"	"grmzm2g081458_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:9:143592388:143593929:-1 gene:GRMZM2G081458 transcript:GRMZM2G081458_T01 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g081458"
"35.2"	"not assigned.unknown"	"grmzm2g107872_p01"	" no hits & (original description: pep:known chromosome:AGPv3:1:25423809:25428035:-1 gene:GRMZM2G107872 transcript:GRMZM2G107872_T01 description:\"est\")"	"TRUE"	"grmzm2g107872"
"35.2"	"not assigned.unknown"	"grmzm2g107872_p02"	" no hits & (original description: pep:known chromosome:AGPv3:1:25423809:25428035:-1 gene:GRMZM2G107872 transcript:GRMZM2G107872_T02 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g107872"
"35.2"	"not assigned.unknown"	"grmzm2g136513_p01"	" no hits & (original description: pep:known chromosome:AGPv3:1:35137154:35141520:-1 gene:GRMZM2G136513 transcript:GRMZM2G136513_T01 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g136513"
"35.2"	"not assigned.unknown"	"grmzm2g033519_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:1:52527412:52539244:1 gene:GRMZM2G033519 transcript:GRMZM2G033519_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g033519"
"35.2"	"not assigned.unknown"	"grmzm5g896901_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:1:65769722:65771244:1 gene:GRMZM5G896901 transcript:GRMZM5G896901_T01 description:\"oprotein\")"	"TRUE"	"grmzm5g896901"
"35.2"	"not assigned.unknown"	"grmzm2g077937_p01"	" no hits & (original description: pep:known chromosome:AGPv3:1:97510599:97513828:1 gene:GRMZM2G077937 transcript:GRMZM2G077937_T01 description:\"est|omrna\")"	"TRUE"	"grmzm2g077937"
"35.2"	"not assigned.unknown"	"grmzm2g443525_p01"	" no hits & (original description: pep:known chromosome:AGPv3:1:164103203:164108542:1 gene:GRMZM2G443525 transcript:GRMZM2G443525_T01 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g443525"
"35.2"	"not assigned.unknown"	"grmzm2g443525_p02"	" no hits & (original description: pep:known chromosome:AGPv3:1:164105453:164108542:1 gene:GRMZM2G443525 transcript:GRMZM2G443525_T02 description:\"cdna|est|omrna\")"	"TRUE"	"grmzm2g443525"
"35.2"	"not assigned.unknown"	"grmzm2g461269_p01"	" no hits & (original description: pep:known chromosome:AGPv3:1:180359657:180365537:1 gene:GRMZM2G461269 transcript:GRMZM2G461269_T01 description:\"abinitio|est|omrna\")"	"TRUE"	"grmzm2g461269"
"35.2"	"not assigned.unknown"	"grmzm2g322748_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:1:196725204:196728930:-1 gene:GRMZM2G322748 transcript:GRMZM2G322748_T01 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g322748"
"35.2"	"not assigned.unknown"	"grmzm2g077068_p01"	" no hits & (original description: pep:known chromosome:AGPv3:1:221288944:221294518:-1 gene:GRMZM2G077068 transcript:GRMZM2G077068_T01 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g077068"
"35.2"	"not assigned.unknown"	"grmzm2g045027_p01"	" no hits & (original description: pep:known chromosome:AGPv3:1:225408071:225412051:-1 gene:GRMZM2G045027 transcript:GRMZM2G045027_T01 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g045027"
"35.2"	"not assigned.unknown"	"grmzm2g150179_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:1:232588727:232592939:-1 gene:GRMZM2G150179 transcript:GRMZM2G150179_T01 description:\"abinitio\")"	"TRUE"	"grmzm2g150179"
"35.2"	"not assigned.unknown"	"grmzm2g017603_p01"	" no hits & (original description: pep:known chromosome:AGPv3:8:103901676:103904417:1 gene:GRMZM2G017603 transcript:GRMZM2G017603_T01 description:\"cdna|est|omrna|protein\")"	"TRUE"	"grmzm2g017603"
"35.2"	"not assigned.unknown"	"grmzm2g047152_p01"	" no hits & (original description: pep:known chromosome:AGPv3:8:103983030:103986649:-1 gene:GRMZM2G047152 transcript:GRMZM2G047152_T01 description:\"est|omrna|protein\")"	"TRUE"	"grmzm2g047152"
"35.2"	"not assigned.unknown"	"grmzm2g351921_p01"	" no hits & (original description: pep:known chromosome:AGPv3:8:131064591:131072960:-1 gene:GRMZM2G351921 transcript:GRMZM2G351921_T01 description:\"abinitio|omrna\")"	"TRUE"	"grmzm2g351921"
"35.2"	"not assigned.unknown"	"grmzm2g169584_p01"	" no hits & (original description: pep:novel chromosome:AGPv3:8:155079613:155081884:1 gene:GRMZM2G169584 transcript:GRMZM2G169584_T01 description:\"abinitio|omrna|protein\")"	"TRUE"	"grmzm2g169584"
